wnvpresent,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,month,sunrise,sunset,bcfg,br,dz,fg,fg+,fu,hz,mifg,ra,sn,sq,ts,tsra,vcts,gr,vcfg,CULEX PIPIENS/RESTUANS,CULEX PIPIENS,CULEX RESTUANS,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,trap_T001,trap_T002,trap_T003,trap_T004,trap_T005,trap_T006,trap_T007,trap_T008,trap_T009,trap_T011,trap_T012,trap_T013,trap_T014,trap_T015,trap_T016,trap_T017,trap_T018,trap_T019,trap_T025,trap_T027,trap_T028,trap_T030,trap_T031,trap_T033,trap_T034,trap_T035,trap_T036,trap_T037,trap_T039,trap_T040,trap_T043,trap_T044,trap_T900,trap_T002,trap_T115,trap_T003,trap_T225,trap_T011,trap_T013,trap_T028,trap_T223,trap_T138,trap_T114,trap_T903,trap_T008,trap_T009,trap_T061,trap_T082,trap_T135,trap_T027,trap_T030,trap_T090,trap_T235,trap_T086,trap_T230,trap_T221,trap_T128,trap_T066,trap_T151,trap_T155,trap_T228,trap_T233,trap_T002,trap_T090,trap_T095,trap_T158,trap_T028,trap_T003,trap_T114,trap_T115,trap_T151,trap_T039,trap_T031,trap_T073,trap_T011,trap_T225,trap_T900,trap_T013,trap_T230,trap_T008,trap_T221,trap_T009,trap_T115,trap_T138,trap_T002,trap_T011,trap_T086,trap_T135,trap_T082,trap_T016,trap_T096,trap_T128,trap_T143,trap_T003,trap_T006,trap_T008,trap_T014,trap_T015,trap_T061,trap_T103,trap_T114,trap_T009,trap_T045,trap_T155,trap_T160,trap_T209,trap_T212,trap_T215,trap_T221,trap_T065,trap_T900,trap_T903,trap_T223,trap_T003,trap_T900,trap_T013,trap_T225,trap_T003,trap_T030,trap_T235,trap_T002,trap_T027,trap_T028,trap_T233,trap_T054,trap_T066,trap_T228,trap_T230,trap_T008,trap_T009,trap_T061,trap_T147,trap_T223,trap_T226,trap_T227,trap_T231,trap_T011,trap_T031,trap_T033,trap_T047,trap_T089,trap_T090,trap_T094,trap_T114,trap_T151,trap_T155,trap_T221,trap_T115,trap_T158
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,70,50,60.0,55,57.0,5.0,0.0,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,5,4.366666666666666,19.25,0,1,0,0,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
