date,latitude,longitude,wnvpresent,culex_pipiens/restuans,culex_pipiens,culex_restuans,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,trap_T086,trap_T003,trap_T028,trap_T082,trap_T014,trap_T115,trap_T158,trap_T016,trap_T903,trap_T226,trap_T027,trap_T013,trap_T228,trap_T095,trap_T223,trap_T231,trap_T090,trap_T039,trap_T031,trap_T011,trap_T227,trap_T151,trap_T900,trap_T138,trap_T143,trap_T030,trap_T135,trap_T054,trap_T015,trap_T233,trap_T066,trap_T225,trap_T002,trap_T128,trap_T230,trap_T006,trap_T103,trap_T221,trap_T114,trap_T096,trap_T009,trap_T235,trap_T008,trap_T061,trap_T147,trap_T073,id,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,sunrise,sunset,bcfg,br,dz,fg,fg+,fu,hz,mifg,ra,sn,sq,ts,tsra,vcts,gr,vcfg
2007-05-29,41.867108,-87.654224,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87,60,73.5,44,58.0,0.0,9.0,0.0,29.41,30.05,10.1,16,10.6,4.416666666666667,19.183333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.776156,-87.778927,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.923738,-87.785288,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.960616,-87.777189,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.662014,-87.724608,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.837085,-87.729384,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.837085,-87.729384,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.798697,-87.736812,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.803423,-87.642984,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.925198,-87.746381,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.964242,-87.757639,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,60,69.5,54,61.0,0.0,5.0,0.0,29.41,30.1,5.9,32,6.8,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.95469,-87.800991,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.95469,-87.800991,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.801498,-87.763416,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.801498,-87.763416,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.822536,-87.666343,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,42.008314,-87.777921,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.82561,-87.726549,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,42.011601,-87.811506,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.94983,-87.698457,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,41.911824,-87.726737,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.891118,-87.654491,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2007-08-24,41.843811,-87.686763,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,65,72.5,54,62.0,0.0,8.0,0.0,29.46,30.08,6.1,31,7.4,5.016666666666667,18.85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,41.904194,-87.756155,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,42.010412,-87.66214,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,42.010412,-87.66214,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,41.867108,-87.654224,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-10-01,41.903002,-87.688267,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,64,67.5,62,64.0,0.0,3.0,0.0,29.49,30.15,4.1,7,4.4,5.683333333333334,17.766666666666666,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.678618,-87.559308,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.678618,-87.559308,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.673408,-87.599862,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.728495,-87.600963,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,52,65.5,55,59.0,0.0,1.0,0.0,29.52,30.17,5.3,3,6.7,5.583333333333333,17.933333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.992478,-87.862995,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
2009-09-25,41.992478,-87.862995,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,79,50,64.5,55,59.0,0.0,0.0,0.0,29.46,30.18,5.1,2,6.4,5.583333333333333,17.933333333333334,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0
