date,latitude,longitude,wnvpresent,culex_pipiens/restuans,culex_pipiens,culex_restuans,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,trap_T086,trap_T003,trap_T028,trap_T082,trap_T014,trap_T115,trap_T158,trap_T016,trap_T903,trap_T226,trap_T027,trap_T013,trap_T228,trap_T095,trap_T223,trap_T231,trap_T090,trap_T039,trap_T031,trap_T011,trap_T227,trap_T151,trap_T900,trap_T138,trap_T143,trap_T030,trap_T135,trap_T054,trap_T015,trap_T233,trap_T066,trap_T225,trap_T002,trap_T128,trap_T230,trap_T006,trap_T103,trap_T221,trap_T114,trap_T096,trap_T009,trap_T235,trap_T008,trap_T061,trap_T147,trap_T073,id,tavg,dewpoint,preciptotal,stnpressure,sealevel,resultdir,avgspeed,sunset,br,fu,hz,ra,ts,tsra,vcts
2007-05-29,41.867108,-87.654224,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,73.5,44,0.0,29.41,30.05,16,10.6,19.183333333333334,0,0,0,0,0,0,0
2009-09-25,41.776156,-87.778927,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.5,55,0.0,29.52,30.17,3,6.7,17.933333333333334,0,0,0,0,0,0,0
2009-09-25,41.923738,-87.785288,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.5,55,0.0,29.52,30.17,3,6.7,17.933333333333334,0,0,0,0,0,0,0
2009-09-25,41.960616,-87.777189,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,64.5,55,0.0,29.46,30.18,2,6.4,17.933333333333334,1,0,0,0,0,0,0
2007-08-24,41.662014,-87.724608,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,72.5,54,0.0,29.46,30.08,31,7.4,18.85,0,0,0,0,0,0,0
2007-08-24,41.837085,-87.729384,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,72.5,54,0.0,29.46,30.08,31,7.4,18.85,0,0,0,0,0,0,0
2007-08-24,41.837085,-87.729384,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,72.5,54,0.0,29.46,30.08,31,7.4,18.85,0,0,0,0,0,0,0
2009-09-25,41.798697,-87.736812,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,65.5,55,0.0,29.52,30.17,3,6.7,17.933333333333334,0,0,0,0,0,0,0
2009-09-25,41.803423,-87.642984,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.5,55,0.0,29.52,30.17,3,6.7,17.933333333333334,0,0,0,0,0,0,0
2009-09-25,41.925198,-87.746381,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.5,55,0.0,29.52,30.17,3,6.7,17.933333333333334,0,0,0,0,0,0,0
