date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvcount,wnvpresent,station,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,month,sunrise,sunset,bc,br,dz,fg,fg+,fu,hz,mi,ra,sn,sq,ts,vc,gr,sprayed
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1.0,0.0,0.0,2,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0
2011-06-10,"3900 South Ashland Avenue, Chicago, IL 60609, USA",CULEX RESTUANS,39, S ASHLAND AVE,T074,"3900  S ASHLAND AVE, Chicago, IL",41.822536,-87.666343,9,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"3700 118th Street, Chicago, IL 60617, USA",CULEX RESTUANS,37, E 118TH ST,T212,"3700  E 118TH ST, Chicago, IL",41.680946,-87.535198,8,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2009-10-01,"South Torrence Avenue, Chicago, IL, USA",CULEX TERRITANS,13, S TORRENCE AVE,T200,"1300  S TORRENCE AVE, Chicago, IL",41.678618,-87.559308,5,1.0,0.0,0.0,2,59,44,51.5,46,49.0,13.0,0.0,TS RA RA BR,0.59,29.18,29.9,8.8,13,8.7,10,5.8,17.566666666666666,0,1,0,0,0,0,0,0.0,1,0,0,1,0,0.0,0
2011-06-10,"2500 South Millard Avenue, Chicago, IL 60623, USA",CULEX TERRITANS,25, S MILLARD AVE,T152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"1200 West Greenleaf Avenue, Chicago, IL 60626, USA",CULEX TERRITANS,12, W GREENLEAF AVE,T018,"1200  W GREENLEAF AVE, Chicago, IL",42.010412,-87.66214,8,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"1200 West Greenleaf Avenue, Chicago, IL 60626, USA",CULEX SALINARIUS,12, W GREENLEAF AVE,T018,"1200  W GREENLEAF AVE, Chicago, IL",42.010412,-87.66214,8,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX TERRITANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
2011-06-10,"1100 North Artesian Avenue, Chicago, IL 60622, USA",CULEX PIPIENS/RESTUANS,11, S ARTESIAN AVE,T160,"1100  S ARTESIAN AVE, Chicago, IL",41.903002,-87.688267,8,1.0,0.0,0.0,2,71,51,61.0,56,58.0,4.0,0.0,TS TS RA BR HZ,0.44,29.26,29.92,6.1,1,7.5,6,4.266666666666667,19.433333333333334,0,1,0,0,0,0,1,0.0,1,0,0,1,0,0.0,0
