date,species,latitude,longitude,nummosquitos,wnvpresent,wnvcount,station,sprayed,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,month,sunrise,sunset,bc,br,dz,fg,fg+,fu,hz,mi,ra,sn,sq,ts,vc,gr,year
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,1.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.907645,-87.760886,1.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,3.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3.0,0.0,0.0,2,0.0,88,65,76.5,59,66.0,0.0,12.0,BR HZ,0.0,29.44,30.09,5.8,16,7.4,5,4.35,19.28333333333333,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,2007
