date,species,latitude,longitude,trap
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,T048
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,T048
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,T091
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,T049
2007-05-29,CULEX RESTUANS,41.907645,-87.760886,T153
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,T045
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,T094
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,T050
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,T054
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,T054
2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,T086
2007-05-29,CULEX RESTUANS,41.688324,-87.676709,T086
2007-05-29,CULEX PIPIENS,41.731922,-87.677512,T096
2007-05-29,CULEX RESTUANS,41.731922,-87.677512,T096
2007-05-29,CULEX RESTUANS,41.891118,-87.654491,T046
2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,T002
2007-05-29,CULEX RESTUANS,41.95469,-87.800991,T002
2007-05-29,CULEX RESTUANS,41.994991,-87.769279,T007
2007-05-29,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,T143
2007-05-29,CULEX PIPIENS/RESTUANS,42.01743,-87.687769,T148
2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,T015
2007-05-29,CULEX RESTUANS,41.974089,-87.824812,T015
2007-05-29,CULEX RESTUANS,41.732984,-87.649642,T159
2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,T129
2007-05-29,CULEX RESTUANS,41.891126,-87.61156,T129
2007-06-05,CULEX PIPIENS,41.867108,-87.654224,T048
2007-06-05,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,T048
2007-06-05,CULEX RESTUANS,41.867108,-87.654224,T048
2007-06-05,CULEX PIPIENS/RESTUANS,41.869216,-87.627561,T092
2007-06-05,CULEX RESTUANS,41.896282,-87.655232,T049
2007-06-05,CULEX RESTUANS,41.906638,-87.701431,T033
2007-06-05,CULEX RESTUANS,41.907645,-87.760886,T153
2007-06-05,CULEX PIPIENS/RESTUANS,41.994469,-87.667736,T149
2007-06-05,CULEX PIPIENS,41.9216,-87.666455,T045
2007-06-05,CULEX PIPIENS/RESTUANS,41.9216,-87.666455,T045
2007-06-05,CULEX RESTUANS,41.9216,-87.666455,T045
2007-06-05,CULEX PIPIENS/RESTUANS,41.720848,-87.666014,T094
2007-06-05,CULEX RESTUANS,42.006858,-87.675919,T150
2007-06-05,CULEX RESTUANS,41.918705,-87.752329,T154
2007-06-05,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,T050
2007-06-05,CULEX RESTUANS,41.919343,-87.694259,T050
2007-06-05,CULEX RESTUANS,41.921965,-87.632085,T054
2007-06-05,CULEX RESTUANS,41.688324,-87.676709,T086
2007-06-05,CULEX PIPIENS,41.731922,-87.677512,T096
2007-06-05,CULEX PIPIENS/RESTUANS,41.731922,-87.677512,T096
2007-06-05,CULEX RESTUANS,41.731922,-87.677512,T096
2007-06-05,CULEX RESTUANS,41.846075,-87.716277,T152
2007-06-05,CULEX RESTUANS,41.891118,-87.654491,T046
2007-06-05,CULEX RESTUANS,41.932094,-87.700117,T147
2007-06-05,CULEX PIPIENS/RESTUANS,41.682587,-87.707973,T158
2007-06-05,CULEX RESTUANS,41.682587,-87.707973,T158
2007-06-05,CULEX RESTUANS,41.944869,-87.832763,T011
2007-06-05,CULEX PIPIENS/RESTUANS,41.948167,-87.730698,T218
2007-06-05,CULEX RESTUANS,41.948167,-87.730698,T218
2007-06-05,CULEX RESTUANS,41.94983,-87.698457,T019
2007-06-05,CULEX PIPIENS/RESTUANS,41.953067,-87.776792,T142
2007-06-05,CULEX RESTUANS,41.953067,-87.776792,T142
2007-06-05,CULEX PIPIENS,41.95469,-87.800991,T002
2007-06-05,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,T002
2007-06-05,CULEX RESTUANS,41.95469,-87.800991,T002
2007-06-05,CULEX PIPIENS/RESTUANS,41.958271,-87.702575,T146
2007-06-05,CULEX RESTUANS,41.958271,-87.702575,T146
2007-06-05,CULEX PIPIENS,41.662014,-87.724608,T135
2007-06-05,CULEX PIPIENS/RESTUANS,41.662014,-87.724608,T135
2007-06-05,CULEX RESTUANS,41.662014,-87.724608,T135
