,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,sunrise,sunset,bc,br,dz,fg,fg+,fu,gr,hz,mi,ra,sn,sq,ts,vc
0,2007-05-01,83.5,51.0,67.25,51.0,56.5,0.0,2.5,0.0,29.14,29.82,2.2,26.0,9.399999999999999,4.8,18.816666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007-05-02,59.5,42.5,51.0,42.0,47.0,13.5,0.0,0.0,29.41,30.085,13.15,3.0,13.4,4.783333333333333,18.833333333333332,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,2007-05-03,66.5,47.0,56.75,40.0,49.0,8.0,0.0,0.0,29.425,30.12,12.3,6.5,12.55,4.766666666666667,18.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2007-05-04,72.0,50.0,61.0,41.5,50.0,3.5,0.0,0.0,29.335,30.045,10.25,7.5,10.600000000000001,4.733333333333333,18.866666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2007-05-05,66.0,53.5,59.75,38.5,49.5,5.0,0.0,0.0,29.43,30.095,11.45,7.0,11.75,4.716666666666667,18.883333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2007-05-06,68.0,50.5,59.25,30.0,46.0,5.5,0.0,0.0,29.595,30.285,14.100000000000001,10.5,14.75,4.7,18.916666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007-05-07,83.5,48.5,66.0,40.0,53.5,0.0,1.0,0.0,29.41,30.12,8.55,17.5,10.2,4.683333333333334,18.933333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2007-05-08,81.0,57.0,69.0,57.5,62.5,0.0,4.0,0.0,29.325,30.025,2.6,9.5,5.6,4.65,18.95,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,2007-05-09,76.5,62.0,69.25,59.5,63.0,0.0,4.5,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001,4.633333333333333,18.966666666666665,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,2007-05-10,83.5,57.5,70.5,52.0,60.5,0.0,5.5,0.0,29.23,29.915,1.35,13.0,4.0,4.616666666666667,18.983333333333334,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,2007-05-11,71.5,50.0,60.75,43.0,51.0,4.0,0.0,0.0,29.36,30.035,11.5,19.5,12.850000000000001,4.6,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2007-05-12,64.5,46.5,55.5,36.5,46.0,9.5,0.0,0.0,29.515,30.195,12.55,2.0,12.95,4.583333333333333,19.016666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2007-05-13,69.0,43.5,56.25,32.5,46.0,8.5,0.0,0.0,29.52,30.24,6.5,12.5,7.85,4.566666666666666,19.033333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2007-05-14,90.0,55.0,72.5,46.0,58.5,0.0,7.5,0.0,29.27,29.975,15.5,21.0,15.95,4.55,19.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2007-05-15,81.0,56.5,68.75,56.0,61.0,0.0,4.0,0.49,29.16,29.835,8.1,26.0,11.55,4.533333333333333,19.066666666666666,0,1,0,0,0,0,0,0,0,1,0,0,1,0
15,2007-05-16,65.0,44.5,54.75,42.5,47.5,10.0,0.0,0.10500000000000001,29.36,30.03,7.9,36.0,12.0,4.516666666666667,19.083333333333332,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,2007-05-17,61.5,43.5,52.5,32.0,43.0,12.0,0.0,0.0,29.585,30.27,11.1,2.0,11.75,4.5,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2007-05-18,70.5,42.5,56.5,30.5,46.5,8.0,0.0,0.0,29.565,30.255000000000003,4.4,23.5,6.5,4.483333333333333,19.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2007-05-19,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2007-05-20,69.0,43.5,56.25,40.5,44.5,8.5,0.0,0.09,29.41,30.11,9.5,3.5,10.2,4.45,19.15,0,0,0,0,0,0,0,0,0,1,0,0,1,1
20,2007-05-21,79.5,45.0,62.25,50.0,56.5,2.5,0.0,0.0,29.36,30.055,6.3,10.5,8.0,4.433333333333334,19.166666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2007-05-22,87.0,57.5,72.25,45.0,58.0,0.0,7.5,0.0,29.375,30.055,10.05,17.0,10.399999999999999,4.416666666666667,19.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2007-05-23,89.0,63.0,76.0,48.5,61.0,0.0,11.5,0.0,29.43,30.1,11.15,18.5,11.5,4.416666666666667,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2007-05-24,88.0,64.5,76.25,53.5,63.0,0.0,11.5,0.01,29.439999999999998,30.105,14.350000000000001,20.5,16.25,4.4,19.216666666666665,0,0,0,0,0,0,0,1,0,1,0,0,0,0
24,2007-05-25,68.0,56.5,62.25,45.0,53.0,2.5,0.0,0.045,29.54,30.235,4.7,5.0,8.5,4.383333333333334,19.233333333333334,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,2007-05-26,67.5,49.5,58.5,55.0,56.5,6.5,0.0,0.645,29.39,30.105,2.65,16.0,7.5,4.366666666666666,19.25,0,1,0,0,0,0,0,1,0,1,0,0,1,0
26,2007-05-27,75.0,58.0,66.5,48.0,56.5,0.0,1.5,0.06,29.375,30.055,8.55,25.0,9.35,4.366666666666666,19.266666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27,2007-05-28,77.5,52.0,64.75,48.0,56.5,0.0,0.0,0.0,29.46,30.145,4.75,9.0,5.25,4.35,19.266666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,2007-05-29,88.0,62.5,75.25,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,4.35,19.283333333333335,0,1,0,0,0,0,0,1,0,0,0,0,0,0
29,2007-05-30,88.0,68.0,78.0,57.5,65.5,0.0,13.5,0.0,29.345,30.035,10.0,18.0,10.35,4.333333333333333,19.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2007-05-31,79.0,66.5,72.75,61.0,65.5,0.0,8.0,0.27,29.310000000000002,29.994999999999997,9.100000000000001,18.5,9.55,4.333333333333333,19.316666666666666,0,1,0,0,0,0,0,1,0,1,0,0,0,0
31,2007-06-01,85.5,64.5,75.0,63.0,66.5,0.0,10.5,0.2,29.22,29.905,4.45,16.5,6.1,4.316666666666666,19.333333333333332,0,1,0,0,0,0,0,1,0,1,0,0,1,0
32,2007-06-02,81.0,66.5,73.75,62.5,67.0,0.0,9.0,0.02,29.065,29.765,7.0,21.5,7.8,4.316666666666666,19.333333333333332,0,1,0,0,0,0,0,0,0,1,0,0,0,0
33,2007-06-03,77.5,63.0,70.25,60.0,63.5,0.0,5.5,0.165,28.845,29.549999999999997,5.050000000000001,24.5,6.95,4.3,19.35,0,1,0,0,0,0,0,1,0,1,0,0,1,1
34,2007-06-04,71.5,57.0,64.25,57.5,60.0,0.5,0.0,0.35,28.85,29.515,7.85,30.5,9.899999999999999,4.3,19.366666666666667,0,1,0,0,0,0,0,0,0,1,0,0,1,0
35,2007-06-05,63.5,49.0,56.25,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,4.283333333333333,19.383333333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,2007-06-06,72.0,46.0,59.0,47.5,55.0,5.5,0.0,0.005,29.1,29.814999999999998,10.2,16.0,11.0,4.283333333333333,19.383333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,2007-06-07,91.5,71.0,81.25,61.5,68.5,0.0,16.5,0.0,28.875,29.55,21.5,19.5,21.9,4.283333333333333,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
